Fraction,True_Mean,Est_Mean,Sigma,LowerBound,UpperBound
0.05,5000,5021.48,26.3595,4995.12,5047.84
0.1,10000,10016.2,58.8358,9957.35,10075
0.15,15000,14994.9,59.0792,14935.8,15054
0.2,20000,19936.6,105.669,19830.9,20042.2
0.25,25000,24921.6,145.975,24775.6,25067.6
0.3,30000,29991.2,221.445,29769.7,30212.6
0.35,35000,34988.6,339.413,34649.2,35328
0.4,40000,40539,819.703,39719.3,41358.7
0.45,45000,45717,298.333,45418.6,46015.3
0.5,50000,50464.8,407.829,50057,50872.6
0.55,55000,55290.8,450.31,54840.5,55741.1
0.6,60000,60222.7,526.156,59696.5,60748.8
0.65,65000,65188.5,543.716,64644.8,65732.2
0.7,70000,70083.6,528.806,69554.8,70612.4
0.75,75000,75137.6,551.857,74585.7,75689.4
0.8,80000,80117.1,609.071,79508,80726.1
0.85,85000,85068.1,658.369,84409.8,85726.5
0.9,90000,90024.7,639.056,89385.7,90663.8
0.95,95000,95044.6,594.25,94450.3,95638.8
1,100000,100071,653.571,99417.7,100725
